age,fare,age_standardized,fare_standardized
22.0,7.25,-0.563356950237803,-0.4999583222338398
38.0,71.2833,0.668840464281964,0.7885027560515833
26.0,7.925,-0.25530759660786123,-0.4863761512721267
35.0,53.1,0.4378034490595077,0.4226232164247433
35.0,8.05,0.4378034490595077,-0.48386093442736505
28.0,8.4583,-0.10128291979289035,-0.4756452301256355
54.0,51.8625,1.9010378788017308,0.39772256966160263
2.0,21.075,-2.1036037183875114,-0.22177533920319834
27.0,11.1333,-0.17829525820037578,-0.42181958964773564
14.0,30.0708,-1.1794556574976864,-0.04076423766634161
4.0,16.7,-1.9495790415725407,-0.309807928769857
58.0,26.55,2.209087232431673,-0.11160884140263685
20.0,8.05,-0.7173816270527738,-0.48386093442736505
39.0,31.275,0.7458528026894494,-0.016533644670645515
14.0,7.8542,-1.1794556574976864,-0.48780077009299977
55.0,16.0,1.9780502172092163,-0.3238931431005224
2.0,29.125,-2.1036037183875114,-0.05979537440054633
28.0,13.0,-0.10128291979289035,-0.38425834737480263
31.0,18.0,0.12975409542956595,-0.28364967358433557
28.0,7.225,-0.10128291979289035,-0.5004613656027921
35.0,26.0,0.4378034490595077,-0.12267579551958825
34.0,13.0,0.36079111065202224,-0.38425834737480263
15.0,8.0292,-1.102443319090201,-0.4842794665103334
28.0,35.5,-0.10128291979289035,0.06848068468229919
8.0,21.075,-1.641529687942599,-0.22177533920319834
38.0,31.3875,0.668840464281964,-0.014269949510359993
28.0,7.225,-0.10128291979289035,-0.5004613656027921
19.0,263.0,-0.7943939654602592,4.646175342148551
28.0,7.8792,-0.10128291979289035,-0.48729772672404736
28.0,7.8958,-0.10128291979289035,-0.486963705927063
40.0,27.7208,0.8228651410969349,-0.08805031434786109
28.0,146.5208,-0.10128291979289035,2.3024117749136366
28.0,7.75,-0.10128291979289035,-0.4898974548547931
66.0,10.5,2.8251859396915564,-0.4345626842700362
28.0,82.1708,-0.10128291979289035,1.0075781432303252
42.0,52.0,0.9768898179119057,0.40048930819084055
28.0,7.2292,-0.10128291979289035,-0.5003768543168081
21.0,8.05,-0.6403692886452884,-0.48386093442736505
18.0,18.0,-0.8714063038677446,-0.28364967358433557
14.0,11.2417,-1.1794556574976864,-0.41963839359995825
40.0,9.475,0.8228651410969349,-0.4551874623970819
27.0,21.0,-0.17829525820037578,-0.22328446931005533
28.0,7.8958,-0.10128291979289035,-0.486963705927063
3.0,41.5792,-2.026591379980026,0.19080473462370068
19.0,7.8792,-0.7943939654602592,-0.48729772672404736
28.0,8.05,-0.10128291979289035,-0.48386093442736505
28.0,15.5,-0.10128291979289035,-0.33395401047956913
28.0,7.75,-0.10128291979289035,-0.4898974548547931
28.0,21.6792,-0.10128291979289035,-0.20961778706235826
18.0,17.8,-0.8714063038677446,-0.28767402053595426
7.0,39.6875,-1.7185420263500844,0.15274044898181535
21.0,7.8,-0.6403692886452884,-0.4888913681168884
49.0,76.7292,1.5159761867643038,0.8980837113706843
29.0,26.0,-0.024270581385404912,-0.12267579551958825
65.0,61.9792,2.748173601284071,0.6012881236888064
28.0,35.5,-0.10128291979289035,0.06848068468229919
21.0,10.5,-0.6403692886452884,-0.4345626842700362
28.5,7.2292,-0.06277675058914763,-0.5003768543168081
5.0,27.75,-1.8725667031650552,-0.08746275969292477
11.0,46.9,-1.4104926727201428,0.2978684609245641
22.0,7.2292,-0.563356950237803,-0.5003768543168081
45.0,83.475,1.207926833134362,1.0338209097018307
4.0,27.9,-1.9495790415725407,-0.08444449947921079
28.0,27.7208,-0.10128291979289035,-0.08805031434786109
28.0,15.2458,-0.10128291979289035,-0.3390689554550765
29.0,10.5,-0.024270581385404912,-0.4345626842700362
19.0,8.1583,-0.7943939654602592,-0.4816817505530635
17.0,7.925,-0.9484186422752301,-0.4863761512721267
26.0,8.6625,-0.25530759660786123,-0.4715363718880328
32.0,10.5,0.20676643383705137,-0.4345626842700362
16.0,46.9,-1.0254309806827155,0.2978684609245641
21.0,73.5,-0.6403692886452884,0.8331066054898489
26.0,14.4542,-0.25530759660786123,-0.3549973206895832
32.0,56.4958,0.20676643383705137,0.49095260331627694
25.0,7.65,-0.3323199350153466,-0.4919096283306024
28.0,7.8958,-0.10128291979289035,-0.486963705927063
28.0,8.05,-0.10128291979289035,-0.48386093442736505
0.83,29.0,-2.19370815432427,-0.06231059124530801
30.0,12.475,0.05274175702208052,-0.39482225812280164
22.0,9.0,-0.563356950237803,-0.4647452864071763
29.0,9.5,-0.024270581385404912,-0.4546844190281296
28.0,7.7875,-0.10128291979289035,-0.48914288980136456
28.0,47.1,-0.10128291979289035,0.30189280787618283
17.0,10.5,-0.9484186422752301,-0.4345626842700362
